Read datetime,Export kWh,Import kWh,Net kWh,Export kVARh,Import kVARh,kW Demand,kVA Demand,Power Factor%,,
2/08/2019 6:30,218,0,218,11.5,0,436,436.606,99.9,,
2/08/2019 7:00,241.2,0,241.2,19.6,0,482.4,483.99,99.7,,
2/08/2019 7:30,231.9,0,231.9,9.6,0,463.8,464.197,99.9,,
2/08/2019 8:00,226.6,0,226.6,4,0,453.2,453.271,100,,
2/08/2019 8:30,233.8,0,233.8,9.1,0,467.6,467.954,99.9,,
2/08/2019 9:00,233.2,0,233.2,22.7,0,466.4,468.604,99.5,,
2/08/2019 9:30,240.1,0,240.1,26.2,0,480.2,483.051,99.4,,
2/08/2019 10:00,226,0,226,18.6,0,452,453.528,99.7,,
2/08/2019 10:30,191.8,0,191.8,0,0,383.6,383.6,100,,
2/08/2019 11:00,194.8,0,194.8,0,0,389.6,389.6,100,,
2/08/2019 11:30,189.6,0,189.6,0,0,379.2,379.2,100,,
2/08/2019 12:00,195.5,0,195.5,0,0,391,391,100,,
2/08/2019 12:30,183.2,0,183.2,0,0,366.4,366.4,100,,
2/08/2019 13:00,182.3,0,182.3,0,0,364.6,364.6,100,,
2/08/2019 13:30,177.8,0,177.8,0,0,355.6,355.6,100,,
2/08/2019 14:00,174.6,0,174.6,0,0,349.2,349.2,100,,
2/08/2019 14:30,169.4,0,169.4,0,0,338.8,338.8,100,,
2/08/2019 15:00,172.2,0,172.2,0,0,344.4,344.4,100,,
2/08/2019 15:30,169.7,0,169.7,0,0,339.4,339.4,100,,
2/08/2019 16:00,178.8,0,178.8,0,0,357.6,357.6,100,,
2/08/2019 16:30,166.2,0,166.2,0,0,332.4,332.4,100,,
2/08/2019 17:00,167.6,0,167.6,0,0,335.2,335.2,100,,
2/08/2019 17:30,176.7,0,176.7,0,0,353.4,353.4,100,,
2/08/2019 18:00,183,0,183,0,0,366,366,100,,
2/08/2019 18:30,179.3,0,179.3,0,0,358.6,358.6,100,,
2/08/2019 19:00,165.7,0,165.7,0,0,331.4,331.4,100,,
2/08/2019 19:30,143.6,0,143.6,0,0,287.2,287.2,100,,
2/08/2019 20:00,140.2,0,140.2,0,0,280.4,280.4,100,,
2/08/2019 20:30,138.3,0,138.3,0,0,276.6,276.6,100,,
2/08/2019 21:00,132,0,132,0,0,264,264,100,,
2/08/2019 21:30,132.7,0,132.7,0,0,265.4,265.4,100,,
2/08/2019 22:00,135.4,0,135.4,0,0,270.8,270.8,100,,
2/08/2019 22:30,132.6,0,132.6,0,0,265.2,265.2,100,,
2/08/2019 23:00,129.1,0,129.1,0,0,258.2,258.2,100,,
2/08/2019 23:30,128.7,0,128.7,0,0,257.4,257.4,100,,
3/08/2019 0:00,131,0,131,0,0,262,262,100,,
3/08/2019 0:30,130.4,0,130.4,0,0,260.8,260.8,100,,
3/08/2019 1:00,131.3,0,131.3,0,0,262.6,262.6,100,,
3/08/2019 1:30,133.2,0,133.2,0,0,266.4,266.4,100,,
3/08/2019 2:00,132.7,0,132.7,0,0,265.4,265.4,100,,
3/08/2019 2:30,132.9,0,132.9,0,0,265.8,265.8,100,,
3/08/2019 3:00,132.7,0,132.7,0,0,265.4,265.4,100,,
3/08/2019 3:30,132.3,0,132.3,0,0,264.6,264.6,100,,
3/08/2019 4:00,130.4,0,130.4,0,0,260.8,260.8,100,,
3/08/2019 4:30,130.9,0,130.9,0,0,261.8,261.8,100,,
3/08/2019 5:00,132.3,0,132.3,0,0,264.6,264.6,100,,
3/08/2019 5:30,128.7,0,128.7,0,0,257.4,257.4,100,,
3/08/2019 6:00,125.8,0,125.8,0,0,251.6,251.6,100,,
3/08/2019 6:30,136,0,136,0,0,272,272,100,,
3/08/2019 7:00,147.3,0,147.3,0,0,294.6,294.6,100,,
3/08/2019 7:30,135.2,0,135.2,0,0,270.4,270.4,100,,
3/08/2019 8:00,126.3,0,126.3,0,0,252.6,252.6,100,,
3/08/2019 8:30,120,0,120,0,0,240,240,100,,
3/08/2019 9:00,126.7,0,126.7,0,0,253.4,253.4,100,,
3/08/2019 9:30,126.2,0,126.2,0,0,252.4,252.4,100,,
3/08/2019 10:00,115.6,0,115.6,0,0,231.2,231.2,100,,
3/08/2019 10:30,112.7,0,112.7,0,0,225.4,225.4,100,,
3/08/2019 11:00,107.8,0,107.8,0,0,215.6,215.6,100,,
3/08/2019 11:30,107,0,107,0,0,214,214,100,,
3/08/2019 12:00,104.9,0,104.9,0,0,209.8,209.8,100,,
3/08/2019 12:30,98,0,98,0,0,196,196,100,,
3/08/2019 13:00,88.8,0,88.8,0,0,177.6,177.6,100,,
3/08/2019 13:30,76.7,0,76.7,0,0,153.4,153.4,100,,
3/08/2019 14:00,74.8,0,74.8,0,0,149.6,149.6,100,,
3/08/2019 14:30,76.8,0,76.8,0,0,153.6,153.6,100,,
3/08/2019 15:00,79.2,0,79.2,0,0,158.4,158.4,100,,
3/08/2019 15:30,78.2,0,78.2,0,0,156.4,156.4,100,,
3/08/2019 16:00,77.5,0,77.5,0,0,155,155,100,,
3/08/2019 16:30,76.1,0,76.1,0,0,152.2,152.2,100,,
3/08/2019 17:00,80.7,0,80.7,0,0,161.4,161.4,100,,
3/08/2019 17:30,96,0,96,0,0,192,192,100,,
3/08/2019 18:00,96.4,0,96.4,0,0,192.8,192.8,100,,
3/08/2019 18:30,91.3,0,91.3,0,0,182.6,182.6,100,,
3/08/2019 19:00,86.3,0,86.3,0,0,172.6,172.6,100,,
3/08/2019 19:30,89.7,0,89.7,0,0,179.4,179.4,100,,
3/08/2019 20:00,93.2,0,93.2,0,0,186.4,186.4,100,,
3/08/2019 20:30,93.6,0,93.6,0,0,187.2,187.2,100,,
3/08/2019 21:00,95.1,0,95.1,0,0,190.2,190.2,100,,
3/08/2019 21:30,93.3,0,93.3,0,0,186.6,186.6,100,,
3/08/2019 22:00,96.1,0,96.1,0,0,192.2,192.2,100,,
3/08/2019 22:30,96.2,0,96.2,0,0,192.4,192.4,100,,
3/08/2019 23:00,97.9,0,97.9,0,0,195.8,195.8,100,,
3/08/2019 23:30,95.6,0,95.6,0,0,191.2,191.2,100,,
4/08/2019 0:00,97.9,0,97.9,0,0,195.8,195.8,100,,
4/08/2019 0:30,97.2,0,97.2,0,0,194.4,194.4,100,,
4/08/2019 1:00,98.6,0,98.6,0,0,197.2,197.2,100,,
4/08/2019 1:30,99,0,99,0,0,198,198,100,,
4/08/2019 2:00,94.6,0,94.6,0,0,189.2,189.2,100,,
4/08/2019 2:30,94.5,0,94.5,0,0,189,189,100,,
4/08/2019 3:00,95.1,0,95.1,0,0,190.2,190.2,100,,
4/08/2019 3:30,94.6,0,94.6,0,0,189.2,189.2,100,,
4/08/2019 4:00,95.2,0,95.2,0,0,190.4,190.4,100,,
4/08/2019 4:30,97,0,97,0,0,194,194,100,,
4/08/2019 5:00,125.4,0,125.4,0,0,250.8,250.8,100,,
4/08/2019 5:30,168.6,0,168.6,0,0,337.2,337.2,100,,
4/08/2019 6:00,153.3,0,153.3,0,0,306.6,306.6,100,,
4/08/2019 6:30,137.1,0,137.1,0,0,274.2,274.2,100,,
4/08/2019 7:00,128.6,0,128.6,0,0,257.2,257.2,100,,
4/08/2019 7:30,124.5,0,124.5,0,0,249,249,100,,
4/08/2019 8:00,115.6,0,115.6,0,0,231.2,231.2,100,,
4/08/2019 8:30,118.8,0,118.8,0,0,237.6,237.6,100,,
4/08/2019 9:00,114,0,114,0,0,228,228,100,,
4/08/2019 9:30,109.5,0,109.5,0,0,219,219,100,,
4/08/2019 10:00,101.3,0,101.3,0,0,202.6,202.6,100,,
4/08/2019 10:30,100.4,0,100.4,0,0,200.8,200.8,100,,
4/08/2019 11:00,101.2,0,101.2,0,0,202.4,202.4,100,,
4/08/2019 11:30,100.2,0,100.2,0,0,200.4,200.4,100,,
4/08/2019 12:00,108.7,0,108.7,0,0,217.4,217.4,100,,
4/08/2019 12:30,104.4,0,104.4,0,0,208.8,208.8,100,,
4/08/2019 13:00,111.4,0,111.4,0,0,222.8,222.8,100,,
4/08/2019 13:30,114.6,0,114.6,0,0,229.2,229.2,100,,
4/08/2019 14:00,114.8,0,114.8,0,0,229.6,229.6,100,,
4/08/2019 14:30,109.7,0,109.7,0,0,219.4,219.4,100,,
4/08/2019 15:00,105.8,0,105.8,0,0,211.6,211.6,100,,
4/08/2019 15:30,103.1,0,103.1,0,0,206.2,206.2,100,,
4/08/2019 16:00,101.5,0,101.5,0,0,203,203,100,,
4/08/2019 16:30,96.1,0,96.1,0,0,192.2,192.2,100,,
4/08/2019 17:00,99.5,0,99.5,0,0,199,199,100,,
4/08/2019 17:30,121.2,0,121.2,0,0,242.4,242.4,100,,
4/08/2019 18:00,131.1,0,131.1,0,0,262.2,262.2,100,,
4/08/2019 18:30,131.1,0,131.1,0,0,262.2,262.2,100,,
4/08/2019 19:00,122.4,0,122.4,0,0,244.8,244.8,100,,
4/08/2019 19:30,116.3,0,116.3,0,0,232.6,232.6,100,,
4/08/2019 20:00,122.9,0,122.9,0,0,245.8,245.8,100,,
4/08/2019 20:30,128.4,0,128.4,0,0,256.8,256.8,100,,
4/08/2019 21:00,116.2,0,116.2,0,0,232.4,232.4,100,,
4/08/2019 21:30,123.7,0,123.7,0,0,247.4,247.4,100,,
4/08/2019 22:00,145.3,0,145.3,0,0,290.6,290.6,100,,
4/08/2019 22:30,149.6,0,149.6,0,0,299.2,299.2,100,,
4/08/2019 23:00,147.1,0,147.1,0,0,294.2,294.2,100,,
4/08/2019 23:30,146.6,0,146.6,0,0,293.2,293.2,100,,
5/08/2019 0:00,140.8,0,140.8,0,0,281.6,281.6,100,,
5/08/2019 0:30,146.3,0,146.3,0,0,292.6,292.6,100,,
5/08/2019 1:00,176.1,0,176.1,0,0,352.2,352.2,100,,
5/08/2019 1:30,159.8,0,159.8,0,0,319.6,319.6,100,,
5/08/2019 2:00,152.5,0,152.5,0,0,305,305,100,,
5/08/2019 2:30,150.6,0,150.6,0,0,301.2,301.2,100,,
5/08/2019 3:00,149.1,0,149.1,0,0,298.2,298.2,100,,
5/08/2019 3:30,149.3,0,149.3,0,0,298.6,298.6,100,,
5/08/2019 4:00,151.6,0,151.6,0,0,303.2,303.2,100,,
5/08/2019 4:30,157,0,157,0,0,314,314,100,,
5/08/2019 5:00,186.3,0,186.3,11.5,0,372.6,373.309,99.8,,
5/08/2019 5:30,228.6,0,228.6,0.7,0,457.2,457.202,100,,
5/08/2019 6:00,196.9,0,196.9,0,0,393.8,393.8,100,,
5/08/2019 6:30,189.8,0,189.8,0.2,0,379.6,379.6,100,,
5/08/2019 7:00,230.2,0,230.2,37.8,0,460.4,466.566,98.7,,
5/08/2019 7:30,228.4,0,228.4,15.3,0,456.8,457.824,99.8,,
5/08/2019 8:00,220.9,0,220.9,17.6,0,441.8,443.2,99.7,,
5/08/2019 8:30,218,0,218,33.5,0,436,441.118,98.8,,
5/08/2019 9:00,221.5,0,221.5,22.9,0,443,445.361,99.5,,
5/08/2019 9:30,224.9,0,224.9,21.3,0,449.8,451.813,99.6,,
5/08/2019 10:00,234.1,0,234.1,22.1,0,468.2,470.282,99.6,,
5/08/2019 10:30,231.8,0,231.8,28.8,0,463.6,467.165,99.2,,
5/08/2019 11:00,233.3,0,233.3,63.1,0,466.6,483.365,96.5,,
5/08/2019 11:30,235.6,0,235.6,53.2,0,471.2,483.064,97.5,,
5/08/2019 12:00,246.5,0,246.5,75.4,0,493,515.548,95.6,,
5/08/2019 12:30,238.4,0,238.4,57.4,0,476.8,490.426,97.2,,
5/08/2019 13:00,239.3,0,239.3,51.2,0,478.6,489.432,97.8,,
5/08/2019 13:30,237.5,0,237.5,49.8,0,475,485.33,97.9,,
5/08/2019 14:00,205.2,0,205.2,7.7,0,410.4,410.689,99.9,,
5/08/2019 14:30,210.6,0,210.6,10.2,0,421.2,421.694,99.9,,
5/08/2019 15:00,193.9,0,193.9,1.6,0,387.8,387.813,100,,
5/08/2019 15:30,199.5,0,199.5,0,0,399,399,100,,
5/08/2019 16:00,201,0,201,0,0,402,402,100,,
5/08/2019 16:30,196.8,0,196.8,0,0,393.6,393.6,100,,
5/08/2019 17:00,190.7,0,190.7,0,0,381.4,381.4,100,,
5/08/2019 17:30,187.8,0,187.8,0,0,375.6,375.6,100,,
5/08/2019 18:00,198.7,0,198.7,0,0,397.4,397.4,100,,
5/08/2019 18:30,200.6,0,200.6,0.1,0,401.2,401.2,100,,
5/08/2019 19:00,198.1,0,198.1,0,0,396.2,396.2,100,,
5/08/2019 19:30,180.4,0,180.4,0,0,360.8,360.8,100,,
5/08/2019 20:00,180.4,0,180.4,0,0,360.8,360.8,100,,
5/08/2019 20:30,185.7,0,185.7,0,0,371.4,371.4,100,,
5/08/2019 21:00,182.6,0,182.6,0,0,365.2,365.2,100,,
5/08/2019 21:30,208,0,208,0.9,0,416,416.004,100,,
5/08/2019 22:00,220,0,220,3.2,0,440,440.047,100,,
5/08/2019 22:30,203.2,0,203.2,0.1,0,406.4,406.4,100,,
5/08/2019 23:00,175.3,0,175.3,0,0,350.6,350.6,100,,
5/08/2019 23:30,173.1,0,173.1,0,0,346.2,346.2,100,,
6/08/2019 0:00,176.6,0,176.6,0,0,353.2,353.2,100,,
6/08/2019 0:30,196.7,0,196.7,0,0,393.4,393.4,100,,
6/08/2019 1:00,186.4,0,186.4,0,0,372.8,372.8,100,,
6/08/2019 1:30,183.9,0,183.9,0,0,367.8,367.8,100,,
6/08/2019 2:00,182.3,0,182.3,0.1,0,364.6,364.6,100,,
6/08/2019 2:30,181.2,0,181.2,0,0,362.4,362.4,100,,
6/08/2019 3:00,176.9,0,176.9,0,0,353.8,353.8,100,,
6/08/2019 3:30,172,0,172,0,0,344,344,100,,
6/08/2019 4:00,180.3,0,180.3,2.2,0,360.6,360.627,100,,
6/08/2019 4:30,190.8,0,190.8,18.1,0,381.6,383.313,99.6,,
6/08/2019 5:00,222.6,0,222.6,42.3,0,445.2,453.167,98.2,,
6/08/2019 5:30,254.2,0,254.2,40.6,0,508.4,514.844,98.7,,
6/08/2019 6:00,253.7,0,253.7,46.6,0,507.4,515.889,98.4,,
6/08/2019 6:30,236.8,0,236.8,31.3,0,473.6,477.719,99.1,,
6/08/2019 7:00,246.7,0,246.7,46.9,0,493.4,502.237,98.2,,
6/08/2019 7:30,273,0,273,51.6,0,546,555.667,98.3,,
6/08/2019 8:00,289.6,0,289.6,67.1,0,579.2,594.544,97.4,,
6/08/2019 8:30,273.4,0,273.4,55.3,0,546.8,557.873,98,,
6/08/2019 9:00,260.8,0,260.8,59.6,0,521.6,535.047,97.5,,
6/08/2019 9:30,260.3,0,260.3,67.3,0,520.6,537.719,96.8,,
6/08/2019 10:00,270.3,0,270.3,75.5,0,540.6,561.293,96.3,,
6/08/2019 10:30,247.7,0,247.7,46.3,0,495.4,503.98,98.3,,
6/08/2019 11:00,236.2,0,236.2,29.3,0,472.4,476.021,99.2,,
6/08/2019 11:30,240.3,0,240.3,47.4,0,480.6,489.861,98.1,,
6/08/2019 12:00,249.4,0,249.4,65.8,0,498.8,515.868,96.7,,
6/08/2019 12:30,241.3,0,241.3,48.4,0,482.6,492.212,98,,
6/08/2019 13:00,261.8,0,261.8,65.7,0,523.6,539.836,97,,
6/08/2019 13:30,251.3,0,251.3,63,0,502.6,518.153,97,,
6/08/2019 14:00,250,0,250,58.5,0,500,513.507,97.4,,
6/08/2019 14:30,247,0,247,55.1,0,494,506.142,97.6,,
6/08/2019 15:00,213.6,0,213.6,34.5,0,427.2,432.736,98.7,,
6/08/2019 15:30,187.6,0,187.6,9.1,0,375.2,375.641,99.9,,
6/08/2019 16:00,193.5,0,193.5,5.7,0,387,387.168,100,,
6/08/2019 16:30,174.3,0,174.3,0.6,0,348.6,348.602,100,,
6/08/2019 17:00,173.1,0,173.1,0,0,346.2,346.2,100,,
6/08/2019 17:30,173.2,0,173.2,0,0,346.4,346.4,100,,
6/08/2019 18:00,175.1,0,175.1,0,0,350.2,350.2,100,,
6/08/2019 18:30,172.3,0,172.3,0,0,344.6,344.6,100,,
6/08/2019 19:00,175.5,0,175.5,0,0,351,351,100,,
6/08/2019 19:30,164.2,0,164.2,0,0,328.4,328.4,100,,
6/08/2019 20:00,164.3,0,164.3,0,0,328.6,328.6,100,,
6/08/2019 20:30,167.1,0,167.1,0,0,334.2,334.2,100,,
6/08/2019 21:00,160.6,0,160.6,0,0,321.2,321.2,100,,
6/08/2019 21:30,163.2,0,163.2,0,0,326.4,326.4,100,,
6/08/2019 22:00,206,0,206,0,0,412,412,100,,
6/08/2019 22:30,197.6,0,197.6,0.1,0,395.2,395.2,100,,
6/08/2019 23:00,186.2,0,186.2,0,0,372.4,372.4,100,,
6/08/2019 23:30,185.7,0,185.7,0,0,371.4,371.4,100,,
7/08/2019 0:00,183.7,0,183.7,0,0,367.4,367.4,100,,
7/08/2019 0:30,176.7,0,176.7,0,0,353.4,353.4,100,,
7/08/2019 1:00,177.7,0,177.7,0,0,355.4,355.4,100,,
7/08/2019 1:30,210.7,0,210.7,0,0,421.4,421.4,100,,
7/08/2019 2:00,200.3,0,200.3,0,0,400.6,400.6,100,,
7/08/2019 2:30,187.9,0,187.9,0,0,375.8,375.8,100,,
7/08/2019 3:00,184.9,0,184.9,0,0,369.8,369.8,100,,
7/08/2019 3:30,185.7,0,185.7,0,0,371.4,371.4,100,,
7/08/2019 4:00,180,0,180,0,0,360,360,100,,
7/08/2019 4:30,205.1,0,205.1,0,0,410.2,410.2,100,,
7/08/2019 5:00,223.9,0,223.9,7.3,0,447.8,448.038,99.9,,
7/08/2019 5:30,230.7,0,230.7,14,0,461.4,462.249,99.8,,
7/08/2019 6:00,221.7,0,221.7,11.2,0,443.4,443.965,99.9,,
7/08/2019 6:30,211,0,211,10.6,0,422,422.532,99.9,,
7/08/2019 7:00,218.9,0,218.9,10.1,0,437.8,438.266,99.9,,
7/08/2019 7:30,192.3,0,192.3,2.1,0,384.6,384.623,100,,
7/08/2019 8:00,186.3,0,186.3,0,0,372.6,372.6,100,,
7/08/2019 8:30,190.6,0,190.6,0,0,381.2,381.2,100,,
7/08/2019 9:00,190.5,0,190.5,0,0,381,381,100,,
7/08/2019 9:30,193,0,193,0,0,386,386,100,,
7/08/2019 10:00,187.8,0,187.8,0.7,0,375.6,375.603,100,,
7/08/2019 10:30,194,0,194,0,0,388,388,100,,
7/08/2019 11:00,200.2,0,200.2,0,0,400.4,400.4,100,,
7/08/2019 11:30,229.9,0,229.9,7.3,0,459.8,460.032,99.9,,
7/08/2019 12:00,240.4,0,240.4,7.2,0,480.8,481.016,100,,
7/08/2019 12:30,220.7,0,220.7,1.5,0,441.4,441.41,100,,
7/08/2019 13:00,215.1,0,215.1,0.6,0,430.2,430.202,100,,
7/08/2019 13:30,215.1,0,215.1,4.1,0,430.2,430.278,100,,
7/08/2019 14:00,208.7,0,208.7,2,0,417.4,417.419,100,,
7/08/2019 14:30,202.5,0,202.5,4.3,0,405,405.091,100,,
7/08/2019 15:00,207.3,0,207.3,5.1,0,414.6,414.725,100,,
7/08/2019 15:30,216.5,0,216.5,5.1,0,433,433.12,100,,
7/08/2019 16:00,212.4,0,212.4,8,0,424.8,425.101,99.9,,
7/08/2019 16:30,213.5,0,213.5,3.7,0,427,427.064,100,,
7/08/2019 17:00,214.5,0,214.5,1.7,0,429,429.013,100,,
7/08/2019 17:30,222.5,0,222.5,3.3,0,445,445.049,100,,
7/08/2019 18:00,224.4,0,224.4,0.1,0,448.8,448.8,100,,
7/08/2019 18:30,221,0,221,0.3,0,442,442,100,,
7/08/2019 19:00,209.4,0,209.4,0,0,418.8,418.8,100,,
7/08/2019 19:30,198.8,0,198.8,0,0,397.6,397.6,100,,
7/08/2019 20:00,183.8,0,183.8,0,0,367.6,367.6,100,,
7/08/2019 20:30,182.9,0,182.9,0,0,365.8,365.8,100,,
7/08/2019 21:00,184.8,0,184.8,0.1,0,369.6,369.6,100,,
7/08/2019 21:30,182.9,0,182.9,0,0,365.8,365.8,100,,
7/08/2019 22:00,181.9,0,181.9,0,0,363.8,363.8,100,,
7/08/2019 22:30,165.3,0,165.3,0,0,330.6,330.6,100,,
7/08/2019 23:00,149.4,0,149.4,0,0,298.8,298.8,100,,
7/08/2019 23:30,142.5,0,142.5,0,0,285,285,100,,
8/08/2019 0:00,141.3,0,141.3,0,0,282.6,282.6,100,,
8/08/2019 0:30,141.9,0,141.9,0,0,283.8,283.8,100,,
8/08/2019 1:00,141.2,0,141.2,0,0,282.4,282.4,100,,
8/08/2019 1:30,141,0,141,0,0,282,282,100,,
8/08/2019 2:00,144.1,0,144.1,0,0,288.2,288.2,100,,
8/08/2019 2:30,145.2,0,145.2,0,0,290.4,290.4,100,,
8/08/2019 3:00,146.6,0,146.6,0,0,293.2,293.2,100,,
8/08/2019 3:30,150.4,0,150.4,0,0,300.8,300.8,100,,
8/08/2019 4:00,153,0,153,0,0,306,306,100,,
8/08/2019 4:30,154.8,0,154.8,0,0,309.6,309.6,100,,
8/08/2019 5:00,177.2,0,177.2,0,0,354.4,354.4,100,,
8/08/2019 5:30,202.7,0,202.7,0,0,405.4,405.4,100,,
8/08/2019 6:00,217.4,0,217.4,17.1,0,434.8,436.143,99.7,,
8/08/2019 6:30,216.7,0,216.7,17.7,0,433.4,434.843,99.7,,
8/08/2019 7:00,223.3,0,223.3,20,0,446.6,448.388,99.6,,
8/08/2019 7:30,223.7,0,223.7,16.1,0,447.4,448.557,99.7,,
8/08/2019 8:00,235.8,0,235.8,17.3,0,471.6,472.868,99.7,,
8/08/2019 8:30,227,0,227,21.4,0,454,456.013,99.6,,
8/08/2019 9:00,222.6,0,222.6,16.5,0,445.2,446.421,99.7,,
8/08/2019 9:30,233.9,0,233.9,25.1,0,467.8,470.486,99.4,,
8/08/2019 10:00,220.9,0,220.9,21,0,441.8,443.792,99.6,,
8/08/2019 10:30,217.6,0,217.6,21.4,0,435.2,437.3,99.5,,
8/08/2019 11:00,216.3,0,216.3,19.5,0,432.6,434.354,99.6,,
8/08/2019 11:30,220,0,220,21.4,0,440,442.077,99.5,,
8/08/2019 12:00,224.2,0,224.2,29.2,0,448.4,452.187,99.2,,
8/08/2019 12:30,230.6,0,230.6,55.8,0,461.2,474.51,97.2,,
8/08/2019 13:00,220.1,0,220.1,47.6,0,440.2,450.377,97.7,,
8/08/2019 13:30,222.2,0,222.2,45.5,0,444.4,453.621,98,,
8/08/2019 14:00,218.5,0,218.5,44.1,0,437,445.812,98,,
8/08/2019 14:30,222,0,222,31.7,0,444,448.504,99,,
8/08/2019 15:00,198.9,0,198.9,9.1,0,397.8,398.216,99.9,,
8/08/2019 15:30,193.2,0,193.2,0,0,386.4,386.4,100,,
8/08/2019 16:00,200.1,0,200.1,1.9,0,400.2,400.218,100,,
8/08/2019 16:30,198.5,0,198.5,1,0,397,397.005,100,,
8/08/2019 17:00,193.9,0,193.9,0,0,387.8,387.8,100,,
8/08/2019 17:30,207,0,207,0,0,414,414,100,,
8/08/2019 18:00,213,0,213,0,0,426,426,100,,
8/08/2019 18:30,211.9,0,211.9,0,0,423.8,423.8,100,,
